Time,TRW1MT (C)
2004-02-13,24.11841721822566
2004-02-14,24.113869361939397
2004-02-15,24.095142019195958
2004-02-16,24.039949949862617
2004-02-17,23.9649358062244
2004-02-18,23.957020189326055
2004-02-19,23.893175517605883
2004-02-20,23.826275137407933
2004-02-21,23.751849580932685
2004-02-22,23.751849580932685
2004-02-23,23.750342009678814
2004-02-24,23.687086986822933
2004-02-25,23.543315805870307
2004-02-26,23.418224432861816
2004-02-27,23.38700992928352
2004-02-28,23.386550856279925
2004-02-29,23.38700992928352
2004-03-01,23.374834284215787
2004-03-02,23.21936803729102
2004-03-03,23.09152007672519
2004-03-04,23.023820245276514
2004-03-05,23.023820245276514
2004-03-06,23.023820245276514
2004-03-07,23.019197958812427
2004-03-08,22.92952780424606
2004-03-09,22.783912930744137
2004-03-10,22.691118418925246
2004-03-11,22.66220251090999
2004-03-12,22.66220251090999
2004-03-13,22.66220251090999
2004-03-14,22.65324475306518
2004-03-15,22.606580319035228
2004-03-16,22.41059188984608
2004-03-17,22.31057578133796
2004-03-18,22.302148176508453
2004-03-19,22.302078708182307
2004-03-20,22.282165059531124
2004-03-21,22.12067440076386
2004-03-22,21.986657876126902
2004-03-23,21.9433708190918
2004-03-24,21.9433708190918
2004-03-25,21.913121939589765
2004-03-26,21.658537181520813
2004-03-27,21.586000825636802
2004-03-28,21.586000825636802
2004-03-29,21.455326606215486
2004-03-30,21.234030432064436
2004-03-31,21.229890709815663
2004-04-01,21.218770373978682
2004-04-02,21.229890709815663
2004-04-03,21.229890709815663
2004-04-04,21.023566319336762
2004-04-05,20.85374762991866
2004-04-06,20.811464797891556
2004-04-07,20.76918196586444
2004-04-08,20.72689913383733
2004-04-09,20.684616301810212
2004-04-10,20.642333469783104
2004-04-11,20.600050637755977
2004-04-12,20.55776780572887
2004-04-13,20.51548497370176
2004-04-14,20.47320214167464
2004-04-15,20.43091930964753
2004-04-16,20.388636477620416
2004-04-17,20.3463536455933
2004-04-18,20.24308922268911
2004-04-19,20.300841808835877
2004-04-20,20.36946072088786
2004-04-21,20.52113803906832
2004-04-22,20.52113803906832
2004-04-23,20.52113803906832
2004-04-24,20.555594392824414
2004-04-25,20.72770804327932
2004-04-26,20.861509395304342
2004-04-27,20.87496245362672
2004-04-28,20.87496245362672
2004-04-29,20.87496245362672
2004-04-30,20.87496245362672
2004-05-01,20.89721283671535
2004-05-02,20.941559621002735
2004-05-03,20.98590640529012
2004-05-04,21.0302531895775
2004-05-05,21.074599973864878
2004-05-06,21.118946758152266
2004-05-07,21.163293542439646
2004-05-08,21.20764032672703
2004-05-09,21.238336466298758
2004-05-10,21.255791993824587
2004-05-11,21.282188598312175
2004-05-12,21.36791158042433
2004-05-13,21.371931991900865
2004-05-14,21.345365459949797
2004-05-15,21.346500720025002
2004-05-16,21.376921351467082
2004-05-17,21.43712990571059
2004-05-18,21.518597470279687
2004-05-19,21.569300571453997
2004-05-20,21.556679299490455
2004-05-21,21.55534518812819
2004-05-22,21.55489325338489
2004-05-23,21.566441089946082
2004-05-24,21.582313038131343
2004-05-25,21.58454378802435
2004-05-26,21.586000825636802
2004-05-27,21.581025927982378
2004-05-28,21.582576968021446
2004-05-29,21.586000825636802
2004-05-30,21.586000825636802
2004-05-31,21.586000825636802
2004-06-01,21.586000825636802
2004-06-02,21.586000825636802
2004-06-03,21.586000825636802
2004-06-04,21.586000825636802
2004-06-05,21.586000825636802
2004-06-06,21.586000825636802
2004-06-07,21.586196752168302
2004-06-08,21.605303217258598
2004-06-09,21.586000825636802
2004-06-10,21.586000825636802
2004-06-11,21.586000825636802
2004-06-12,21.586000825636802
2004-06-13,21.586000825636802
2004-06-14,21.586000825636802
2004-06-15,21.586000825636802
2004-06-16,21.586000825636802
2004-06-17,21.586000825636802
2004-06-18,21.586000825636802
2004-06-19,21.586000825636802
2004-06-20,21.586000825636802
2004-06-21,21.586000825636802
2004-06-22,21.586000825636802
2004-06-23,21.586000825636802
2004-06-24,21.586000825636802
2004-06-25,21.586000825636802
2004-06-26,21.586000825636802
2004-06-27,21.586000825636802
2004-06-28,21.586000825636802
2004-06-29,21.586000825636802
2004-06-30,21.586000825636802
2004-07-01,21.586000825636802
2004-07-02,21.586000825636802
2004-07-03,21.586000825636802
